row_number,gene_symbol,missing_values,missing_percent,is_duplicate_gene_symbol
708,ANKRD31,0,0.0,False
709,ANKRD32,0,0.0,False
710,ANKRD33,0,0.0,False
711,ANKRD34A,0,0.0,False
712,ANKRD34B,0,0.0,False
713,ANKRD34C,0,0.0,False
714,ANKRD35,0,0.0,False
715,ANKRD36,0,0.0,False
716,ANKRD36B,0,0.0,False
717,ANKRD36BP1,0,0.0,False
718,ANKRD37,0,0.0,False
719,ANKRD39,0,0.0,False
720,ANKRD40,0,0.0,False
721,ANKRD42,0,0.0,False
722,ANKRD43,0,0.0,False
723,ANKRD44,0,0.0,False
724,ANKRD45,0,0.0,False
725,ANKRD46,0,0.0,False
726,ANKRD49,0,0.0,False
727,ANKRD50,0,0.0,False
728,ANKRD52,0,0.0,False
729,ANKRD53,0,0.0,False
730,ANKRD54,0,0.0,False
731,ANKRD55,0,0.0,False
732,ANKRD56,0,0.0,False
733,ANKRD5,0,0.0,False
734,ANKRD57,0,0.0,False
735,ANKRD58,0,0.0,False
736,ANKRD6,0,0.0,False
737,ANKRD7,0,0.0,False
738,ANKRD9,0,0.0,False
739,ANKS1A,0,0.0,False
740,ANKS1B,0,0.0,False
741,ANKS3,0,0.0,False
742,ANKS4B,0,0.0,False
743,ANKS6,0,0.0,False
744,ANKZF1,0,0.0,False
745,ANLN,0,0.0,False
746,ANO10,0,0.0,False
747,ANO1,0,0.0,False
748,ANO2,0,0.0,False
749,ANO3,0,0.0,False
750,ANO4,0,0.0,False
751,ANO5,0,0.0,False
752,ANO6,0,0.0,False
753,ANO7,0,0.0,False
754,ANO8,0,0.0,False
755,ANO9,0,0.0,False
756,ANP32A,0,0.0,False
757,ANP32B,0,0.0,False
758,ANP32C,0,0.0,False
759,ANP32D,0,0.0,False
760,ANP32E,0,0.0,False
761,ANPEP,0,0.0,False
762,ANTXR1,0,0.0,False
763,ANTXR2,0,0.0,False
764,ANTXRL,0,0.0,False
765,ANUBL1,0,0.0,False
766,ANXA10,0,0.0,False
767,ANXA11,0,0.0,False
768,ANXA1,0,0.0,False
769,ANXA13,0,0.0,False
770,ANXA2,0,0.0,False
771,ANXA2P1,0,0.0,False
772,ANXA2P2,0,0.0,False
773,ANXA2P3,0,0.0,False
774,ANXA3,0,0.0,False
775,ANXA4,0,0.0,False
776,ANXA5,0,0.0,False
777,ANXA6,0,0.0,False
778,ANXA7,0,0.0,False
779,ANXA8,0,0.0,False
780,ANXA8L1,0,0.0,False
781,ANXA8L2,0,0.0,False
782,ANXA9,0,0.0,False
783,AOAH,0,0.0,False
784,AOC2,0,0.0,False
785,AOC3,0,0.0,False
786,AOX1,0,0.0,False
787,AOX2P,0,0.0,False
788,AP1AR,0,0.0,False
789,AP1B1,0,0.0,False
790,AP1G1,0,0.0,False
791,AP1G2,0,0.0,False
792,AP1M1,0,0.0,False
793,AP1M2,0,0.0,False
794,AP1S1,0,0.0,False
795,AP1S2,0,0.0,False
796,AP1S3,0,0.0,False
797,AP2A1,0,0.0,False
798,AP2A2,0,0.0,False
799,AP2B1,0,0.0,False
800,AP2M1,0,0.0,False
801,AP2S1,0,0.0,False
802,AP3B1,0,0.0,False
803,AP3B2,0,0.0,False
804,AP3D1,0,0.0,False
805,AP3M1,0,0.0,False
806,AP3M2,0,0.0,False
807,AP3S1,0,0.0,False
808,AP3S2,0,0.0,False
809,AP4B1,0,0.0,False
810,AP4E1,0,0.0,False
811,AP4M1,0,0.0,False
812,AP4S1,0,0.0,False
813,APAF1,0,0.0,False
814,APBA1,0,0.0,False
815,APBA2,0,0.0,False
816,APBA3,0,0.0,False
817,APBB1,0,0.0,False
818,APBB1IP,0,0.0,False
819,APBB2,0,0.0,False
820,APBB3,0,0.0,False
821,APC2,0,0.0,False
822,APC,0,0.0,False
823,APCDD1,0,0.0,False
824,APCDD1L,0,0.0,False
825,APCS,0,0.0,False
826,APEH,0,0.0,False
827,APEX1,0,0.0,False
828,APEX2,0,0.0,False
829,APH1A,0,0.0,False
830,APH1B,0,0.0,False
831,API5,0,0.0,False
832,APIP,0,0.0,False
833,APITD1,0,0.0,False
834,APLF,0,0.0,False
835,APLN,0,0.0,False
836,APLNR,0,0.0,False
837,APLP1,0,0.0,False
838,APLP2,0,0.0,False
839,APOA1,0,0.0,False
840,APOA1BP,0,0.0,False
841,APOA2,0,0.0,False
842,APOA4,0,0.0,False
843,APOA5,0,0.0,False
844,APOB,0,0.0,False
845,APOB48R,0,0.0,False
846,APOBEC1,0,0.0,False
847,APOBEC2,0,0.0,False
